Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
69pkT3GewmjhQf6vQWcK2L,"2YZyLoL8N0Wb9xBt1NhZWg","Sing About Me, I'm Dying Of Thirst","good kid, m.A.A.d city","Kendrick Lamar",2012,723573,58,spotify:user:bill9119,2024-01-06T01:11:01Z,"conscious hip hop,hip hop,rap,west coast rap",0.654,0.753,11,-7.556,0,0.395,0.303,0.0000808,0.13,0.371,110.722,5
6l8EbYRtQMgKOyc1gcDHF9,"70cRZdQywnSFp9pnc2WTCE","Bridge Over Troubled Water","Bridge Over Troubled Water","Simon & Garfunkel",1970-01-26,293120,73,spotify:user:bill9119,2023-12-18T01:00:19Z,"classic rock,folk,folk rock,melancholia,mellow gold,rock,soft rock",0.149,0.206,3,-13.888,1,0.0323,0.822,0.000649,0.115,0.264,79.764,4
1UGD3lW3tDmgZfAVDh6w7r,"5K4W6rqBFWDnAN6FQUkS6x,1sBkRIssrMs1AbVkOJbc7a","Devil In A New Dress","My Beautiful Dark Twisted Fantasy","Kanye West,Rick Ross",2010-11-22,351946,83,spotify:user:bill9119,2024-01-06T01:11:04Z,"chicago rap,hip hop,rap,dirty south rap,gangster rap,southern hip hop,trap",0.435,0.76,8,-4.935,0,0.0721,0.0175,0,0.158,0.206,80.082,4
432hUIl3ISDeytYW5XBQ5h,"5K4W6rqBFWDnAN6FQUkS6x","Wolves","The Life Of Pablo","Kanye West",2016-06-10,301586,72,spotify:user:bill9119,2024-01-06T11:59:09Z,"chicago rap,hip hop,rap",0.395,0.392,1,-8.034,1,0.0925,0.219,0.00173,0.134,0.103,155.856,4
19kHhX6f6EfLU7rcO3RqjO,"59oA5WbbQvomJz2BuRG071","Back On 74","Volcano","Jungle",2023-08-11,209482,83,spotify:user:bill9119,2023-11-05T00:29:01Z,"indie soul,uk contemporary r&b",0.62,0.761,10,-7.282,0,0.175,0.207,0.000147,0.269,0.194,146.003,4
1wNlxeNoKgMK3pAuZCHDcJ,"0tOWWVeVRQUE7nS0J43Zm9,7rL0vdXxFkfSWJ46p57yfB,2wUjzAPBw9nmHPSdyNG87K","Beautiful Day (Thank You for Sunshine)","Beautiful Day (Thank You for Sunshine)","Prinz,Rushawn,Jermaine Edwards",2023-01-20,110070,66,spotify:user:bill9119,2023-11-28T19:59:09Z,"chill drill,gospel reggae",0.843,0.564,0,-8.673,1,0.21,0.0874,0,0.104,0.618,142.086,4
1Vk4yRsz0iBzDiZEoFMQyv,"2snm3HmsnDUDxbIChdl2Oj","Mia & Sebastian’s Theme","La La Land (Original Motion Picture Soundtrack)","Justin Hurwitz",2016-12-09,98040,74,spotify:user:bill9119,2023-12-27T23:43:10Z,"hollywood,movie tunes",0.476,0.192,9,-15.753,1,0.064,0.976,0.928,0.119,0.114,116.542,3
3sNVsP50132BTNlImLx70i,"5K4W6rqBFWDnAN6FQUkS6x","Bound 2","Yeezus","Kanye West",2013-06-18,229146,87,spotify:user:bill9119,2023-11-28T19:24:51Z,"chicago rap,hip hop,rap",0.367,0.665,1,-2.821,1,0.0465,0.145,0,0.113,0.31,148.913,4
0FDzzruyVECATHXKHFs9eJ,"4gzpq5DPGxSnKTe4SA8HAU","A Sky Full of Stars","Ghost Stories","Coldplay",2014-05-19,267866,89,spotify:user:bill9119,2023-11-28T19:59:09Z,"permanent wave,pop",0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,4
1hGy2eLcmC8eKx7qr1tOqx,"6S0dmVVn4udvppDhZIWxCr","Beautiful Girls","Beautiful Girls","Sean Kingston",2007-07-23,225373,81,spotify:user:bill9119,2023-11-29T21:19:50Z,"dance pop,miami hip hop,pop",0.762,0.661,1,-6.075,0,0.0687,0.15,0,0.256,0.769,130.009,4
0pQskrTITgmCMyr85tb9qq,"0oSGxfWSnnOXhD2fKuz2Gy","Starman - 2012 Remaster","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","David Bowie",1972-06-06,254293,81,spotify:user:bill9119,2023-11-19T02:11:58Z,"art rock,classic rock,glam rock,permanent wave,rock",0.486,0.449,5,-10.298,1,0.0267,0.166,0.00000223,0.54,0.549,100.456,4
6XQHlsNu6so4PdglFkJQRJ,"6kXm2YCtdUOpRYNKeKhfue,68Uwx1d3EbjDJhYsLjqvIq","City Of Stars - From La La Land Soundtrack","La La Land (Original Motion Picture Soundtrack)","Ryan Gosling,Emma Stone",2016-12-09,149706,69,spotify:user:bill9119,2023-12-27T23:45:14Z,"hollywood",0.492,0.116,2,-15.15,0,0.0379,0.899,0.00000193,0.0889,0.434,111.787,4
0Wf8Va6aRGqjQM5Wo2T1oI,"4c9NYYIAGKWqPDTkoVnGr7","Mid Air","Mid Air","Paul Buchanan",2012,152607,49,spotify:user:bill9119,2023-12-31T02:22:27Z,"melancholia,scottish singer-songwriter,solo wave",0.342,0.0968,0,-13.633,1,0.0357,0.95,0.00513,0.119,0.103,97.032,1
06JvOZ39sK8D8SqiqfaxDU,"5K4W6rqBFWDnAN6FQUkS6x,15UsOTVnJzReFVN1VCnxy4","True Love","True Love","Kanye West,XXXTENTACION",2022-05-27,148571,77,spotify:user:bill9119,2024-01-06T01:11:00Z,"chicago rap,hip hop,rap,emo rap,miami hip hop",0.712,0.861,5,-5.487,0,0.25,0.0182,0.00000609,0.511,0.388,84.042,4
762K1h8yVV5IgAVuEMpqfZ,"2snm3HmsnDUDxbIChdl2Oj","Epilogue","La La Land (Original Motion Picture Soundtrack)","Justin Hurwitz",2016-12-09,459466,63,spotify:user:bill9119,2024-01-07T19:24:17Z,"hollywood,movie tunes",0.408,0.27,7,-11.568,1,0.0438,0.661,0.829,0.516,0.14,127.15,4
18AJRdgUoO9EYn11N7xzaT,"4NHQUGzhtTLFvgF5SZesLK","Habits (Stay High)","Queen Of The Clouds","Tove Lo",2014-09-24,209160,77,spotify:user:bill9119,2023-11-28T19:59:09Z,"dance pop,metropopolis,pop,swedish electropop,swedish pop,swedish synthpop",0.733,0.65,5,-3.539,1,0.0315,0.0703,0.0000659,0.0829,0.348,110.003,4
1odExI7RdWc4BT515LTAwj,"33NVpKoXjItPwUJTMZIOiY","Daylight","Daylight","David Kushner",2023-04-14,212953,94,spotify:user:bill9119,2023-10-12T21:35:58Z,"gen z singer-songwriter,singer-songwriter pop",0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,4
3E7dfMvvCLUddWissuqMwr,"5YGY8feqx7naU7z4HrwZM6","Party In The U.S.A.","The Time Of Our Lives (International Version)","Miley Cyrus",2009-01-01,202066,85,spotify:user:bill9119,2024-01-06T11:59:09Z,"pop",0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,4
6ft9PAgNOjmZ2kFVP7LGqb,"3CDKmzJu6uwEGnPLLZffpD","Can't Take My Eyes off You","The Very Best of Frankie Valli & The 4 Seasons","Frankie Valli",2003-01-14,203240,74,spotify:user:bill9119,2024-01-06T22:18:03Z,"adult standards,bubblegum pop,lounge,rock-and-roll",0.575,0.764,4,-7.448,1,0.0746,0.566,0.0000107,0.0692,0.536,123.821,4
795p3jKj5stjPf8IFpZkdD,"20wkVLutqVOYrc0kxFs7rA","ENTROPY","CASE STUDY 01","Daniel Caesar",2019-06-28,261291,62,spotify:user:bill9119,2023-12-04T21:01:52Z,"canadian contemporary r&b",0.642,0.527,2,-9.444,1,0.0534,0.808,0.0000428,0.154,0.566,133.062,4
5ByRHOS9edOQr436aB8NdN,"5K4W6rqBFWDnAN6FQUkS6x","Street Lights","808s & Heartbreak","Kanye West",2008-11-24,189906,47,spotify:user:bill9119,2024-01-06T01:00:45Z,"chicago rap,hip hop,rap",0.644,0.487,6,-9.654,1,0.034,0.0287,0.0166,0.206,0.467,125.528,4
70C4NyhjD5OZUMzvWZ3njJ,"6zFYqv1mOsgBRQbae3JJ9e","Piano Man","Piano Man (Legacy Edition)","Billy Joel",1973-11-07,339000,79,spotify:user:bill9119,2023-12-28T00:29:52Z,"album rock,classic rock,heartland rock,mellow gold,piano rock,rock,singer-songwriter,soft rock",0.331,0.55,0,-6.483,1,0.0272,0.605,0.00000396,0.192,0.429,177.734,3
4bHsxqR3GMrXTxEPLuK5ue,"0rvjqX7ttXeg3mTy8Xscbt","Don't Stop Believin'","Escape (Bonus Track Version)","Journey",1981,250986,56,spotify:user:bill9119,2023-12-18T00:27:12Z,"album rock,classic rock,hard rock,heartland rock,mellow gold,rock,soft rock",0.5,0.748,4,-9.072,1,0.0363,0.127,0,0.447,0.514,118.852,4
7FwBtcecmlpc1sLySPXeGE,"3eqjTLE0HfPfh78zjh6TqT","Dancing In the Dark","Born In The U.S.A.","Bruce Springsteen",1984-06-04,241306,82,spotify:user:bill9119,2023-12-18T16:56:18Z,"heartland rock,mellow gold,permanent wave,rock,singer-songwriter",0.527,0.942,1,-5.64,0,0.0366,0.0115,0,0.188,0.495,148.723,4
3zkyus0njMCL6phZmNNEeN,"5H4yInM5zmHqpKIoMNAx4r","LET GO","LET GO","Central Cee",2022-12-15,174246,80,spotify:user:bill9119,2023-11-28T19:58:59Z,"melodic drill,r&drill",0.735,0.449,2,-9.933,0,0.383,0.859,0,0.213,0.514,146.016,4
5xX2LYdXyx0Boa61rZOjq5,"3CJKkU0XuElRT1z8rEtIYg","Beautiful Girl","Majestic","Luciano",2022-09-29,178453,67,spotify:user:bill9119,2023-11-28T19:58:59Z,"german drill,german hip hop",0.846,0.42,11,-8.659,0,0.104,0.296,0.00134,0.09,0.621,139.883,4
2WfaOiMkCvy7F5fcp2zZ8L,"2jzc5TC5TVFLXQlBNiIUzE","Take on Me","Hunting High and Low","a-ha",1985-06-01,225280,90,spotify:user:bill9119,2023-12-18T01:00:19Z,"new romantic,new wave,new wave pop,permanent wave,synthpop",0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,4
62AuGbAkt8Ox2IrFFb8GKV,"7mEIug7XUlQHikrFxjTWes","Sweet Caroline","Sweet Caroline","Neil Diamond",1969-06-06,203573,80,spotify:user:bill9119,2023-12-18T01:00:19Z,"adult standards,brill building pop,folk rock,heartland rock,mellow gold,singer-songwriter,soft rock,yacht rock",0.529,0.127,11,-16.066,1,0.0274,0.611,0.000109,0.237,0.578,63.05,4
7A9G4BFWZxKw5NqGU3X5VK,"0cylxW7HGdK9xMdubw2oYW","City of Stars (Instrumental Version)","Instrumental Piano Songs (From the Film La La Land)","The O'Neill Brothers Group",2017-02-07,145005,41,spotify:user:bill9119,2024-02-04T20:27:03Z,"christmas instrumental,classify,coverchill,instrumental worship,relaxative",0.424,0.0426,2,-23.03,0,0.0403,0.986,0.897,0.11,0.154,114.217,4
6bNB5gxFX6Q87DbQWb8OWZ,"0EmeFodog0BfCgMzAIvKQp,7AcV1lk8Zrgo1691PDWEle","Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)","Listen Up! The Official 2010 FIFA World Cup Album","Shakira,Freshlyground",2010-05-28,202626,70,spotify:user:bill9119,2023-11-28T19:59:09Z,"colombian pop,dance pop,latin pop,pop,african rock,afropop,kwaito,south african jazz,south african pop,south african pop dance",0.758,0.871,2,-6.408,1,0.147,0.0062,0,0.0663,0.753,126.994,4
7tqhbajSfrz2F7E1Z75ASX,"3koiLjNrgRTNbOwViDipeA,75jNCko3SnEMI5gwGqrbb8","Ain't No Mountain High Enough","United","Marvin Gaye,Tammi Terrell",1967-08-29,151666,88,spotify:user:bill9119,2023-12-12T21:25:13Z,"classic soul,motown,neo soul,northern soul,quiet storm,soul,southern soul",0.663,0.6,7,-10.87,1,0.032,0.43,0,0.184,0.8,129.991,4
2HUZVffVPXvqnrml0gXggp,"0Wxy5Qka8BN9crcFkiAxSR","Smokestack Lightnin'","Moanin' In The Moonlight","Howlin' Wolf",1958-03-01,188400,65,spotify:user:bill9119,2023-12-28T00:34:33Z,"acoustic blues,blues,chicago blues,delta blues,harmonica blues,memphis blues,traditional blues",0.661,0.342,9,-16.361,0,0.043,0.844,0.000128,0.26,0.588,146.118,4
30SCXVFyQGOFMdKnbgJS18,"0nAVvgfE9yI4DwvMiYwk8a","I Can See Clearly Now","The Best Of","Johnny Nash",1996-05-04,166933,61,spotify:user:bill9119,2023-12-29T00:17:04Z,"",0.658,0.468,2,-13.19,1,0.0493,0.521,0.0000838,0.066,0.684,124.227,4
3J8EOeKLTLXORtWPpOU5bE,"6jGMq4yGs7aQzuGsMgVgZR,4IVAbR2w4JJNJDDRFP3E83","Calling My Phone","Destined 2 Win","Lil Tjay,6LACK",2021-04-02,205458,80,spotify:user:bill9119,2023-10-12T21:35:58Z,"brooklyn drill,melodic rap,nyc rap,rap,atl hip hop,r&b,trap",0.907,0.393,4,-7.636,0,0.0539,0.451,0.00000135,0.135,0.202,104.949,4
5rZlwNFl01HqLWBQGryKSm,"0eDvMgVFoNV3TpwtrVCoTj,6jGMq4yGs7aQzuGsMgVgZR","Mood Swings (feat. Lil Tjay)","Shoot For The Stars Aim For The Moon","Pop Smoke,Lil Tjay",2020-07-03,213333,80,spotify:user:bill9119,2023-10-12T21:35:58Z,"brooklyn drill,rap,melodic rap,nyc rap",0.48,0.602,10,-6.335,0,0.368,0.487,0,0.0848,0.269,179.798,4
58k32my5lKofeZRtIvBDg9,"5SXuuuRpukkTvsLuUknva1","HONEST","DIE FOR MY BITCH","Baby Keem",2019-07-19,172672,82,spotify:user:bill9119,2023-11-28T19:24:51Z,"hip hop,rap",0.676,0.536,2,-8.79,1,0.0432,0.403,0.0000337,0.105,0.373,79.037,4
31mzt4ZV8C0f52pIz1NSwd,"35WVTyRnKAoaGExqgktVyb","Shut up My Moms Calling - (Sped Up)","Shut up My Moms Calling (Sped up)","Hotel Ugly",2022-09-14,135529,84,spotify:user:bill9119,2023-11-28T19:58:59Z,"modern indie pop",0.653,0.474,5,-10.899,0,0.103,0.312,0.00000665,0.119,0.361,85.024,4
7ezboaARv4FY1k0WFoINWC,"0ErzCpIMyLcjPiwT4elrtZ","CHAMPIONS","CHAMPIONS","NLE Choppa",2023-02-03,242000,60,spotify:user:bill9119,2023-11-28T19:59:09Z,"memphis hip hop,rap",0.647,0.65,1,-7.396,1,0.0771,0.171,0,0.106,0.377,132.997,4
2ytdgzoyqAYZmFnDpJqeQA,"3vAAMEuSy9RJFmJkHR4Sw6","beauty and a beat","beauty and a beat","YPC CROSS",2021-12-15,120111,51,spotify:user:bill9119,2023-11-28T19:59:09Z,"melodic drill",0.541,0.62,0,-8.381,1,0.269,0.129,0,0.325,0.532,139.513,4
6AQbmUe0Qwf5PZnt4HmTXv,"78rUTD7y6Cy67W1RVzYs7t,3LZZPxNDGDFVSIPqf4JuEf","Boy's a liar Pt. 2","Boy's a liar Pt. 2","PinkPantheress,Ice Spice",2023-02-03,131013,83,spotify:user:bill9119,2023-11-28T19:59:09Z,"bedroom pop,bronx drill",0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,4
0MoQI1EZGSHLhd5UBdxPol,"0FtsMKmZEq8fBWqdSOWtqp","Substance","The Wolf of Grape Street","03 Greedo",2018-03-09,219834,73,spotify:user:bill9119,2023-11-28T19:59:09Z,"cali rap,melodic rap",0.599,0.32,3,-13.716,0,0.0787,0.26,0,0.106,0.197,70.998,4
466cKvZn1j45IpxDdYZqdA,"3TVXtAsR1Inumwj472S9r4","Toosie Slide","Dark Lane Demo Tapes","Drake",2020-05-01,247058,71,spotify:user:bill9119,2023-11-28T19:59:09Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.83,0.49,1,-8.82,0,0.209,0.289,0.00000304,0.113,0.845,81.604,4
7m9OqQk4RVRkw9JJdeAw96,"15UsOTVnJzReFVN1VCnxy4","Jocelyn Flores","17","XXXTENTACION",2017-08-25,119133,85,spotify:user:bill9119,2023-11-28T19:59:09Z,"emo rap,miami hip hop,rap",0.872,0.391,0,-9.144,0,0.242,0.469,0.00000413,0.297,0.437,134.021,4
4WuOWVnAqvEQxgSRrspBgt,"0iEtIxbK0KxaSlF7G42ZOp,0Y5tJX1MQlPlqiwlOH1tJY,1URnnhqYAYcrqrcwql10ft","Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage]","HEROES & VILLAINS","Metro Boomin,Travis Scott,21 Savage",2022-12-02,207306,82,spotify:user:bill9119,2023-11-28T19:59:09Z,"hip hop,rap,slap house,atl hip hop",0.671,0.658,2,-5.567,1,0.309,0.189,0.0000866,0.147,0.257,87.933,4
1vux5TJpXtc7tbjA1YODpp,"0ErzCpIMyLcjPiwT4elrtZ","Capo","Capo","NLE Choppa",2022-01-13,192200,76,spotify:user:bill9119,2023-11-28T19:59:09Z,"memphis hip hop,rap",0.614,0.953,2,-4.162,1,0.0688,0.119,0,0.331,0.593,154.969,4
1zCQXSnLkfXq3TzMLr6pWf,"3ZHU5AKrUmIPnCFfr82QER,4PfKPdq8QEgcerLwGApWIp","Shakira!","Shakira!","1nonly,EGOVERT",2020-11-06,149577,71,spotify:user:bill9119,2023-11-28T19:59:09Z,"aesthetic rap",0.79,0.832,5,-5.291,0,0.103,0.0996,0,0.763,0.623,99.502,4
0JzG1wJuB4v9UPkSE7LMXi,"5nvWOyAkfNgVLKESq4fOj2","Hotel","Hotel","Montell Fish",2022-09-16,197333,74,spotify:user:bill9119,2023-10-12T21:35:58Z,"pittsburgh rap",0.228,0.427,0,-8.739,0,0.0363,0.752,0.0167,0.592,0.192,180.345,4
3NRql0A1Ef4RCvT473iqgD,"3K2Srho6NCF3o9MswGR76H","Hell N Back","Hell N Back","Bakar",2019-08-15,213573,80,spotify:user:bill9119,2023-10-12T21:35:58Z,"uk alternative hip hop",0.584,0.684,10,-4.314,0,0.567,0.312,0.0000905,0.112,0.72,210.164,4
0I3q5fE6wg7LIfHGngUTnV,"1G9G7WwrXka3Z1r7aIDjI7","Ms. Jackson","Stankonia","Outkast",2000-10-31,270506,84,spotify:user:bill9119,2023-12-04T21:03:13Z,"atl hip hop,dirty south rap,hip hop,old school atlanta hip hop,rap,southern hip hop",0.843,0.806,4,-5.946,0,0.269,0.143,0,0.0771,0.613,94.948,4
3zBhihYUHBmGd2bcQIobrF,"60df5JBRRPcnSpsIMxxwQm","(Sittin' On) the Dock of the Bay","The Dock of the Bay (Mono)","Otis Redding",1968,163755,83,spotify:user:bill9119,2023-12-18T01:00:19Z,"classic soul,memphis soul,soul,soul blues,southern soul,vocal jazz",0.769,0.367,2,-11.226,1,0.0312,0.684,0.0000162,0.081,0.535,103.621,4
4RvWPyQ5RL0ao9LPZeSouE,"4bthk9UfsYUYdcFyqxmSUU","Everybody Wants To Rule The World","Songs From The Big Chair (Super Deluxe Edition)","Tears For Fears",1985-02-25,251488,90,spotify:user:bill9119,2023-12-18T01:00:19Z,"new romantic,new wave,new wave pop,permanent wave,rock,sophisti-pop,synthpop",0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,4
1PtQJZVZIdWIYdARpZRDFO,"1aSxMhuvixZ8h9dK9jIDwL","Running Up That Hill (A Deal With God)","Hounds Of Love","Kate Bush",1985-09-16,298933,84,spotify:user:bill9119,2023-12-18T16:56:18Z,"art pop,art rock,baroque pop,new wave pop,permanent wave,piano rock,singer-songwriter",0.629,0.545,10,-13.123,0,0.0546,0.719,0.00308,0.0604,0.194,108.376,4
3Cx4yrFaX8CeHwBMReOWXI,"6zFYqv1mOsgBRQbae3JJ9e","We Didn't Start the Fire","Storm Front","Billy Joel",1989-10-17,287733,78,spotify:user:bill9119,2023-12-18T16:56:18Z,"album rock,classic rock,heartland rock,mellow gold,piano rock,rock,singer-songwriter,soft rock",0.712,0.967,7,-5.206,1,0.047,0.0771,0,0.356,0.895,145.024,4
01Lr5YepbgjXAWR9iOEyH1,"15iVAtD3s3FsQR4w1v6M0P","Love Sosa","Finally Rich","Chief Keef",2012-01-01,246213,85,spotify:user:bill9119,2024-01-06T01:00:37Z,"chicago bop,chicago drill,chicago rap,drill,hip hop,rap,southern hip hop,trap",0.772,0.413,0,-8.193,0,0.089,0.0361,0,0.111,0.211,131.965,4
4ZMJshw6UOvaTWWThYtEoW,"5K4W6rqBFWDnAN6FQUkS6x","Heartless","808s & Heartbreak","Kanye West",2008-11-24,211000,72,spotify:user:bill9119,2024-01-06T01:01:01Z,"chicago rap,hip hop,rap",0.79,0.647,10,-5.983,0,0.136,0.0515,0,0.248,0.654,87.999,4
2BcMwX1MPV6ZHP4tUT9uq6,"3TVXtAsR1Inumwj472S9r4,1URnnhqYAYcrqrcwql10ft,08Ld63UgKrJ0nZnCkzHtzc","Knife Talk (with 21 Savage ft. Project Pat)","Certified Lover Boy","Drake,21 Savage,Project Pat",2021-09-03,242965,82,spotify:user:bill9119,2024-01-06T14:20:56Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,atl hip hop,crunk,dirty south rap,gangster rap,memphis hip hop,trap",0.849,0.424,5,-9.579,0,0.324,0.0635,0,0.0834,0.153,145.887,4
2hYN1IVp5LGIsi5MpzcjVz,"0eDvMgVFoNV3TpwtrVCoTj,6jGMq4yGs7aQzuGsMgVgZR","War (feat. Lil Tjay) - Bonus","Meet The Woo 2","Pop Smoke,Lil Tjay",2020-02-07,221826,65,spotify:user:bill9119,2023-11-28T19:59:09Z,"brooklyn drill,rap,melodic rap,nyc rap",0.641,0.76,6,-4.442,0,0.179,0.195,0,0.0768,0.59,141.82,4
